Day;X1;Period;X2;X3;X4;X5
1;-1;1;-1;-1;-1;-1
1;-1;2;1;1;1;-1
2;-1;1;-1;0;1;1
2;-1;2;-1;1;-1;-1
3;-1;1;-1;1;1;-1
3;-1;2;1;-1;1;1
4;-1;1;-1;0;0;-1
4;-1;2;1;1;-1;0
5;-1;1;0;-1;-1;1
5;-1;2;-1;-1;1;-1
6;-1;1;0;-1;1;0
6;-1;2;1;0;-1;1
7;-1;1;1;-1;-1;-1
7;-1;2;-1;1;-1;1
8;-1;1;1;-1;0;1
8;-1;2;0;0;-1;-1
9;-1;1;1;-1;1;-1
9;-1;2;-1;1;1;1
10;-1;1;1;1;-1;-1
10;-1;2;0;-1;1;0
11;-1;1;1;1;1;1
11;-1;2;-1;-1;-1;1
12;0;1;-1;-1;1;1
12;0;2;1;-1;-1;0
13;0;1;0;1;0;0
13;0;2;1;-1;1;-1
14;0;1;0;1;1;-1
14;0;2;-1;0;0;0
15;0;1;1;1;-1;1
15;0;2;-1;0;-1;-1
16;1;1;-1;-1;-1;1
16;1;2;1;1;-1;-1
17;1;1;-1;-1;1;-1
17;1;2;1;1;0;-1
18;1;1;-1;0;1;0
18;1;2;1;-1;-1;1
19;1;1;-1;1;-1;-1
19;1;2;1;1;1;1
20;1;1;-1;1;-1;1
20;1;2;0;-1;0;-1
21;1;1;1;-1;0;-1
21;1;2;-1;1;1;-1
22;1;1;1;-1;-1;0
22;1;2;0;1;0;1
23;1;1;1;-1;1;1
23;1;2;-1;-1;-1;-1
24;1;1;1;0;1;-1
24;1;2;-1;-1;1;1
25;1;1;1;1;-1;1
25;1;2;-1;1;1;1
26;1;1;1;1;1;-0.11
26;1;2;0;0;-1;1
